Folder,File,Name
Anniversary,iconFavors_4thAnniversary,Ghastly Gateau
Anniversary,iconFavors_5thAnniversary,5th Anniversary
Anniversary,iconFavors_bloodyPartyStreamers,Bloody Party Streamers
Anniversary,iconFavors_escapeCake,Escape! Cake
Anniversary,iconFavors_gruesomeGateau,Gruesome Gateau
Anniversary,iconFavors_survivorPudding,Survivor Pudding
Anniversary,iconsFavors_5thAnniversary,5th Anniversary
Anniversary,iconsFavors_6thAnniversary,6th Anniversary
Cannibal,iconFavors_boneSplinter,Bone Splinter
DLC2,iconFavors_blackSplinter,Black Splinter
DLC2,iconFavors_decrepitClapboard,Decrepit Clapboard
DLC2,iconFavors_harvestFestivalLeaflet,Harvest Festival Leaflet
DLC2,iconFavors_strodeRealtyKey,Strode Realty Key
DLC3,iconFavors_fumingCordage,Fuming Cordage
DLC3,iconFavors_fumingWelcomeSign,Fuming Welcome Sign
DLC3,iconFavors_granmasCookbook,Grandma's Cookbook
DLC3,iconFavors_muddySplinter,Muddy Splinter
DLC4,iconFavors_emergencyCertificate,Emergency Certificate
DLC4,iconFavors_psychiatricAssessmentReport,Psychiatric Assessment Report
DLC4,iconFavors_shatteredGlasses,Shattered Glasses
DLC4,iconFavors_shockSplinter,Shock Splinter
DLC5,iconFavors_childrensBook,Children's Book
DLC5,iconFavors_paintedRiverRock,Painted River Rock
DLC5,iconFavors_theLastMask,The Last Mask
Eclipse,iconsFavors_RPDBadge,RPD Badge
England,iconFavors_smokingSplinter,Smoking Splinter
England,iconFavors_thePiedPiper,The Pied Piper
Finland,iconFavors_glassSplinter,Glass Splinter
Finland,iconFavors_jigsawPiece,Jigsaw Piece
Haiti,iconFavors_yamaokasCrest,Yamaoka Family Crest
Halloween,iconFavors_pustulaPetals,Pustula Petals
Halloween2021,iconFavors_CursedSeed,Cursed Seed (Halloween 2021)
,iconFavors_ardentRavenWreath,Ardent Raven Wreath
,iconFavors_ardentShrikeWreath,Ardent Shrike Wreath
,iconFavors_ardentSpottedOwlWreath,Ardent Spotted Owl Wreath
,iconFavors_ardentTanagerWreath,Ardent Tanager Wreath
,iconFavors_azarovsKey,Azarov's Key
,iconFavors_blackSaltStatuette,Black Salt Statuette
,iconFavors_bogLaurelSachet,Bog Laurel Sachet
,iconFavors_boundEnvelope,Bound Envelope
,iconFavors_cattleTag28,Cattle Tag-28
,iconFavors_cattleTag81,Coldwind Cattle Tag-81
,iconFavors_chalkPouch,Chalk Pouch
,iconFavors_charredWeddingPhotograph,Charred Wedding Photograph
,iconFavors_clearReagent,Clear Reagent
,iconFavors_creamChalkPouch,Cream Chalk Pouch
,iconFavors_crecentMoonBouquet,Crescent Moon Bouquet
,iconFavors_crispleafAmaranthSachet,Crispleaf Amaranth Sachet
,iconFavors_cutCoin,Cut Coin
,iconFavors_devoutRavenWreath,Devout Raven Wreath
,iconFavors_devoutShrikeWreath,Devout Shrike Wreath
,iconFavors_devoutSpottedOwlWreath,Devout Spotted Owl Wreath
,iconFavors_devoutTanagerWreath,Devout Tanager Wreath
,iconFavors_faintReagent,Faint Reagent
,iconFavors_fragrantBogLaurel,Fragrant Bog Laurel
,iconFavors_fragrantCrispleafAmaranth,Fragrant Crispleaf Amaranth
,iconFavors_fragrantPrimroseBlossom,Fragrant Primrose Blossom
,iconFavors_fragrantSweetWilliam,Fragrant Sweet William
,iconFavors_freshBogLaurel,Fresh Bog Laurel
,iconFavors_freshCrispleafAmaranth,Fresh Crispleaf Amaranth
,iconFavors_freshPrimroseBlossom,Fresh Primrose Blossom
,iconFavors_freshSweetWilliam,Fresh Sweet William
,iconFavors_fullMoonBouquet,Full Moon Bouquet
,iconFavors_graduationCap,Graduation Cap
,iconFavors_hazyReagent,Hazy Reagent
,iconFavors_heartLocket,Heart Locket
,iconFavors_hollowShell,Hollow Shell
,iconFavors_ivoryChalkPouch,Ivory Chalk Pouch
,iconFavors_jarOfSaltyLips,Vigo's Jar of Salty Lips
,iconFavors_lunacyTicket,Lunacy Ticket
,iconFavors_macmillianLedgerPage,MacMillan Ledger Page
,iconFavors_macmilliansPhalanxBone,MacMillan's Phalanx Bone
,iconFavors_moldyOak,Moldy Oak
,iconFavors_momentoMoriCypress,Cypress Memento Mori
,iconFavors_momentoMoriEbony,Ebony Memento Mori
,iconFavors_momentoMoriIvory,Ivory Memento Mori
,iconFavors_murkyReagent,Murky Reagent
,iconFavors_newMoonBouquet,New Moon Bouquet
,iconFavors_pElliottLunacyTicket,P.Elliott Lunacy Ticket
,iconFavors_petrifiedOak,Petrified Oak
,iconFavors_plateShredded,Shredded Plate
,iconFavors_plateVirginia,Virginia Plate
,iconFavors_primroseBlossomSachet,Primrose Blossom Sachet
,iconFavors_putridOak,Putrid Oak
,iconFavors_quarterMoonBouquet,Quarter Moon Bouquet
,iconFavors_ravenWreath,Raven Wreath
,iconFavors_rottenOak,Rotten Oak
,iconFavors_saltPouch,Salt Pouch
,iconFavors_scratchedCoin,Scratched Coin
,iconFavors_sealedEnvelope,Sealed Envelope
,iconFavors_shinyCoin,Shiny Coin
,iconFavors_shrikeWreath,Shrike Wreath
,iconFavors_shroudOfBinding,Shroud of Binding
,iconFavors_shroudOfSeparation,Shroud of Separation
,iconFavors_shroudOfUnion,Shroud of Union
,iconFavors_signedLedgerPage,Signed Ledger Page
,iconFavors_spottedOwlWreath,Spotted Owl Wreath
,iconFavors_sweetWilliamSachet,Sweet William Sachet
,iconFavors_tanagerWreath,Tanager Wreath
,iconFavors_tarnishedCoin,Tarnished Coin
,iconFavors_vigosShroud,Vigo's Shroud
,iconFavors_wardBlack,Black Ward
,iconFavors_wardWhite,White Ward
Ion,iconFavors_crowsEye,Crows Eye
Kenya,iconFavors_damagedPhoto,Damaged Photo
LunarNewYear,iconFavors_redMoneyPacket,Red Envelope
Meteor,iconFavors_IchorousLoam,Ichorus Loam
Qatar,iconFavors_hawkinsNationalLaboratoryID,Hawkins National Laboratory I.D.
Summer,iconFavors_bbqInvitation,BBQ Invitation
Ukraine,iconFavors_dustyNoose,Dusty Noose
Wales,iconFavors_marysLetter,Mary's Letter
XP,iconFavors_BlackTea,Black Tea
XP,iconFavors_BlankPostcard,Blank Post
XP,iconFavors_BloodstoneChalice,Blood Stone Chalice
XP,iconFavors_BoneDoll,Bone Doll
XP,iconFavors_BurdockTea,Burdock Tea
XP,iconFavors_CeramicChalice,Ceramic Chalice
XP,iconFavors_ClayDoll,Clay Doll
XP,iconFavors_CopperChalice,Copper Chalice
XP,iconFavors_CrumpledPostcard,Crumpled Postcard
XP,iconFavors_FleshDoll,Flesh Doll
XP,iconFavors_LotusLeafTea,Lotus Leaf Tea
XP,iconFavors_LoversPostcard,Lover's Postcard
XP,iconFavors_MilkTea,Milk Tea
XP,iconFavors_StampedPostcard,Stamped Postcard
XP,iconFavors_ThornDoll,Thorn Doll
XP,iconFavors_WoodenChalice,Wooden Chalice
Yemen,iconFavors_annotatedBlueprint,Annotated Blueprint
Yemen,iconFavors_bloodiedBlueprint,Bloodied Blueprint
Yemen,iconFavors_tornBlueprint,Torn Blueprint
Yemen,iconFavors_vigosBlueprint,Vigo's Blueprint
Yemen,iconFavors_wardSacrificial,Sacrificial Ward
Halloween2022,iconFavors_ArcaneDowsingRod,Arcane Dowsing Rod
