Folder,File,Name,Owner
,iconPerks_adrenaline,Adrenaline,Meg Thomas
,iconPerks_agitation,Agitation,The Trapper
,iconPerks_aNursesCalling,A Nurse's Calling,The Nurse
,iconPerks_balancedLanding,Balanced Landing,Nea Karlsson
,iconPerks_bitterMurmur,Bitter Murmur,
,iconPerks_bloodhound,Bloodhound,The Wraith
,iconPerks_bloodPact,Blood Pact,Cheryl Mason
,iconPerks_bond,Bond,Dwight Fairfield
,iconPerks_botanyKnowledge,Botany Knowledge,Claudette Morel
,iconPerks_brutalStrength,Brutal Strength,The Trapper
,iconPerks_calmSpirit,Calm Spirit,Jake Park
,iconPerks_darkSense,Dark Sense,
,iconPerks_deerstalker,Deerstalker,
,iconPerks_dejaVu,Déjà vu,
,iconPerks_distressing,Distressing,
,iconPerks_empathy,Empathy,Claudette Morel
,iconPerks_enduring,Enduring,The Hillbilly
,iconPerks_noOneEscapesDeath,Hex: No One Escapes Death,
,iconPerks_hope,Hope,
,iconPerks_insidious,Insidious,
,iconPerks_ironGrasp,Iron Grasp,
,iconPerks_ironWill,Iron Will,Jake Park
,iconPerks_kindred,Kindred,
,iconPerks_leader,Leader,Dwight Fairfield
,iconPerks_lightborn,Lightborn,The Hillbilly
,iconPerks_lightweight,Lightweight,
,iconPerks_monstrousShrine,Scourge Hook: Monstrous Shrine,
,iconPerks_noOneLeftBehind,No One Left Behind,
,iconPerks_plunderersInstinct,Plunderer's Instinct,
,iconPerks_predator,Predator,The Wraith
,iconPerks_premonition,Premonition,
,iconPerks_proveThyself,Prove Thyself,Dwight Fairfield
,iconPerks_quickAndQuiet,Quick & Quite,Meg Thomas
,iconPerks_resilience,Resilience,
,iconPerks_saboteur,Saboteur,Jake Park
,iconPerks_selfCare,Self Care,Claudette Morel
,iconPerks_shadowborn,Shadowborn,The Wraith
,iconPerks_slipperyMeat,Slippery Meat,
,iconPerks_sloppyButcher,Sloppy Butcher,
,iconPerks_smallGame,Small Game,
,iconPerks_spiesFromTheShadows,Spies from the Shadows,
,iconPerks_spineChill,Spine Chill,
,iconPerks_sprintBurst,Sprint Burst,Meg Thomas
,iconPerks_streetwise,Streetwise,Nea Karlsson
,iconPerks_stridor,Stridor,The Nurse
,iconPerks_thatanophobia,Thatanophobia,The Nurse
,iconPerks_thisIsNotHappening,This is not Happening,
,iconPerks_tinkerer,Tinkerer,The Hillbilly
,iconPerks_unnervingPresence,Unnerving presence,The Trapper
,iconPerks_unrelenting,Unrelenting,
,iconPerks_urbanEvasion,Urban Evasion,Nea Karlsson
,iconPerks_wellMakeIt,We'll Make it,
,iconPerks_whispers,Whispers,
Ash,iconPerks_buckleUp,Buckle Up,Ashley J. Williams
Ash,iconPerks_flipFlop,Flip-flop,Ashley J. Williams
Ash,iconPerks_mettleOfMan,Mettle of Man,Ashley J. Williams
Aurora,iconPerks_appraisal,Appraisal,Élodie Rakoto
Aurora,iconPerks_coupDeGrace,Coup de Grâce,The Twins
Aurora,iconPerks_deception,Deception,Élodie Rakoto
Aurora,iconPerks_Hoarder,Hoarder,The Twins
Aurora,iconPerks_Oppression,Oppression,The Twins
Aurora,iconPerks_powerStruggle,Power Struggle,Élodie Rakoto
Cannibal,iconPerks_BBQAndChili,Barbecue & Chili,The Cannibal
Cannibal,iconPerks_franklinsLoss,Franklin's Demise,The Cannibal
Cannibal,iconPerks_knockOut,Knock Out,The Cannibal
Comet,iconPerks_FastTrack,Fast Track,Yun-Jin Lee
Comet,iconPerks_HexCrowdControl,Hex: Crowd Control,The Trickster
Comet,iconPerks_NoWayOut,No Way Out,The Trickster
Comet,iconPerks_Self-Preservation,Self-Preservation,Yun-Jin Lee
Comet,iconPerks_SmashHit,Smash Hit,Yun-Jin Lee
Comet,iconPerks_Starstruck,Starstruck,The Trickster
DLC2,iconPerks_decisiveStrike,Decisive Strike,Laurie Strode
DLC2,iconPerks_dyingLight,Dying Light,The Shape
DLC2,iconPerks_objectOfObsession,Object of Obsession,Laurie Strode
DLC2,iconPerks_playWithYourFood,Play with Your Food,The Shape
DLC2,iconPerks_saveTheBestForLast,Save the Best for Last,The Shape
DLC2,iconPerks_soleSurvivor,Sole Survivor,Laurie Strode
DLC3,iconPerks_aceInTheHole,Ace in the Hole,Ace Visconti
DLC3,iconPerks_devourHope,Hex: Devour Hope,The Hag
DLC3,iconPerks_ruin,Hex: Ruin,The Hag
DLC3,iconPerks_theThirdSeal,Hex: The Third Seal,The Hag
DLC3,iconPerks_thrillOfTheHunt,Hex: Thrill of the Hunt,
DLC3,iconPerks_openHanded,Open-Handed,Ace Visconti
DLC3,iconPerks_upTheAnte,Up the Ante,Ace Visconti
DLC4,iconPerks_alert,Alert,Feng Min
DLC4,iconPerks_lithe,Lithe,Feng Min
DLC4,iconPerks_monitorAndAbuse,Monitor & Abuse,The Doctor
DLC4,iconPerks_generatorOvercharge,Overcharge,The Doctor
DLC4,iconPerks_overwhelmingPresence,Overwhelming Presence,The Doctor
DLC4,iconPerks_technician,Technician,Feng Min
DLC5,iconPerks_BeastOfPrey,Beast of Prey,The Huntress
DLC5,iconPerks_DeadHard,Dead Hard,David King
DLC5,iconPerks_HuntressLullaby,Hex: Huntress Lullaby,The Huntress
DLC5,iconPerks_NoMither,No Mither,David King
DLC5,iconPerks_TerritorialImperative,Territorial Imperative,The Huntress
DLC5,iconPerks_WereGonnaLiveForever,We're Gonna Live Forever,David King
Eclipse,iconPerks_BiteTheBullet,Bite the Bullet,Leon Scott Kennedy
Eclipse,iconPerks_blastMine,Blast Mine,Jill Valentine
Eclipse,iconPerks_Counterforce,Counterforce,Jill Valentine
Eclipse,iconPerks_eruption,Eruption,The Nemesis
Eclipse,iconPerks_Flashbang,Flashbang,Leon Scott Kennedy
Eclipse,iconPerks_hysteria,Hysteria,The Nemesis
Eclipse,iconPerks_lethalPursuer,Lethal Pursuer,The Nemesis
Eclipse,iconPerks_Resurgence,Resurgence,Jill Valentine
Eclipse,iconPerks_RookieSpirit,Rookie Spirit,Leon Scott Kennedy
England,iconPerks_boilOver,Boil Over,Kate Denson
England,iconPerks_fireUp,Fire Up,The Nightmare
England,iconPerks_pharmacy,Pharmacy,Quentin Smith
England,iconPerks_rememberMe,Remember Me,The Nightmare
England,iconPerks_vigil,Vigil,Quentin Smith
England,iconPerks_wakeUp,Wake Up,Quentin Smith
Finland,iconPerks_detectivesHunch,Detective's Hunch,Detective David Tapp
Finland,iconPerks_hangmansTrick,Hangman's Trick,The Pig
Finland,iconPerks_makeYourChoice,Make Your Choice,The Pig
Finland,iconPerks_stakeOut,Stake Out,Detective David Tapp
Finland,iconPerks_surveillance,Surveillance,The Pig
Finland,iconPerks_tenacity,Tenacity,Detective David Tapp
Gemini,iconPerks_Deadlock,Deadlock,The Cenobite
Gemini,iconPerks_HexPlaything,Hex: Plaything,The Cenobite
Gemini,iconPerks_ScourgeHookGiftOfPain,Scourge Hook: Gift of Pain,The Cenobite
Guam,iconPerks_bamboozle,Bamboozle,The Clown
Guam,iconPerks_coulrophobia,Coulrophobia,The Clown
Guam,iconPerks_popGoesTheWeasel,Pop Goes the Weasel,The Clown
Haiti,iconPerks_autodidact,Autodidact,Adam Francis
Haiti,iconPerks_deliverance,Deliverance,Adam Francis
Haiti,iconPerks_diversion,Diversion,Adam Francis
Haiti,iconPerks_hauntedGround,Hex: Haunted Ground,The Spirit
Haiti,iconPerks_hatred,Rancor,The Spirit
Haiti,iconPerks_spiritFury,Spirit Fury,The Spirit
Hubble,iconPerks_BoonCircleOfHealing,Boon: Circle of Healing,Mikaela Reid
Hubble,iconPerks_BoonShadowStep,Boon: Shadow Step,Mikaela Reid
Hubble,iconPerks_Clairvoyance,Clairvoyance,Mikaela Reid
