File,Name
emblemIcon_benevolent_bronze,Benevolent (Bronze)
emblemIcon_benevolent_gold,Benevolent (Gold)
emblemIcon_benevolent_none,Benevolent (None)
emblemIcon_benevolent_platinum,Benevolent (Iridescent)
emblemIcon_benevolent_silver,Benevolent (Silver)
emblemIcon_chaser_bronze,Chaser (Bronze)
emblemIcon_chaser_gold,Chaser (Gold)
emblemIcon_chaser_none,Chaser (None)
emblemIcon_chaser_platinum,Chaser (Iridescent)
emblemIcon_chaser_silver,Chaser (Silver)
emblemIcon_devout_bronze,Devout (Bronze)
emblemIcon_devout_gold,Devout (Gold)
emblemIcon_devout_none,Devout (None)
emblemIcon_devout_platinum,Devout (Iridescent)
emblemIcon_devout_silver,Devout (Silver)
emblemIcon_evader_bronze,Evader (Bronze)
emblemIcon_evader_gold,Evader (Gold)
emblemIcon_evader_none,Evader (None)
emblemIcon_evader_platinum,Evader (Iridescent)
emblemIcon_evader_silver,Evader (Silver)
emblemIcon_gatekeeper_bronze,Gatekeeper (Bronze)
emblemIcon_gatekeeper_gold,Gatekeeper (Gold)
emblemIcon_gatekeeper_none,Gatekeeper (None)
emblemIcon_gatekeeper_platinum,Gatekeeper (Iridescent)
emblemIcon_gatekeeper_silver,Gatekeeper (Silver)
emblemIcon_lightbringer_bronze,Lightbringer (Bronze)
emblemIcon_lightbringer_gold,Lightbringer (Gold)
emblemIcon_lightbringer_none,Lightbringer (None)
emblemIcon_lightbringer_platinum,Lightbringer (Iridescent)
emblemIcon_lightbringer_silver,Lightbringer (Silver)
emblemIcon_malicious_bronze,Malicious (Bronze)
emblemIcon_malicious_gold,Malicious (Gold)
emblemIcon_malicious_none,Malicious (None)
emblemIcon_malicious_platinum,Malicious (Iridescent)
emblemIcon_malicious_silver,Malicious (Silver)
emblemIcon_unbroken_bronze,Unbroken (Bronze)
emblemIcon_unbroken_gold,Unbroken (Gold)
emblemIcon_unbroken_none,Unbroken (None)
emblemIcon_unbroken_platinum,Unbroken (Iridescent)
emblemIcon_unbroken_silver,Unbroken (Silver)" }
