Folder,File,Name
Anniversary,iconItems_flashlight_anniversary2020,Anniversary Flashlight
Anniversary,iconItems_flashlight_anniversary2022,Masquerade Flashlight
Anniversary,iconItems_medkit_anniversary2020,Anniversary Med-Kit
Anniversary,iconItems_medkit_anniversary2022,Masquerade Med-Kit
Anniversary,iconItems_partyPopper,Third Year Party Starter
Anniversary,iconItems_toolbox_anniversary2021,Anniversary Toolbox
Anniversary,iconItems_toolbox_anniversary2022,Masquerade Toolbox
Halloween,iconItems_flashlightHalloween,Will O' Wisp
Halloween,iconItems_medkitHalloween,All Hallows' Eve Lunchbox
Limited,iconItems_LimitedFragileMirror,Pocket Mirror
Limited,iconItems_LimitedItemVaccine,Vaccine
Limited,iconItems_LimitedLamentConfiguration,Lament Configuration
Limited,iconItems_LimitedRepairedMirror,Pocket Mirror
Limited,iconItems_LimitedVhsTape,VHS Tape
Limited,iconItems_flashbangGrenade,Flash Granade
LunarEvent,iconItems_toolboxLunar,Festive Toolbox
WinterEvent,iconItems_winterEventFirecracker,Winter Party Starter
,iconItems_brokenKey,Broken Key
,iconItems_chineseFirecracker,Chinese Firecracker
,iconItems_dullKey,Dull Key
,iconItems_firstAidKit,First Aid Kit
,iconItems_flashlight,Flashlight
,iconItems_flashlightSport,Sport Flashlight
,iconItems_flashlightUtility,Utility Flashlight
,iconItems_key,Skeleton Key
,iconItems_map,Map
,iconItems_medkit,Emergency Med-Kit
,iconItems_rainbowMap,Rainbow Map
,iconItems_rangersAidKit,Ranger Med-Kit
,iconItems_rundownAidKit,Camping Aid Kit
,iconItems_toolbox,Toolbox
,iconItems_toolboxAlexs,Alex's Toolbox
,iconItems_toolboxCommodious,Commodious Toolbox
,iconItems_toolboxEngineers,Engineer's Toolbox
,iconItems_toolboxMechanics,Mechanic's Toolbox
,iconItems_toolboxWornOut,Worn-Out Tools
Limited,iconItems_LimitedStabilizingSpray,First Aid Spray
